playerID,playerName,team,position,opponent,week_num,rec_tgt_roll,rush_att_roll,off_snp_roll,ease_roll
11610,Malik Washington,MIA,WR,NE,2,3.5,2.0,31.5,1.2
11610,Malik Washington,MIA,WR,BUF,3,4.0,2.0,32.0,1.1
11610,Malik Washington,MIA,WR,NYJ,4,3.3,2.3,32.0,1.1
11610,Malik Washington,MIA,WR,CAR,5,4.3,2.0,31.0,1.0
11610,Malik Washington,MIA,WR,LAC,6,4.3,1.5,28.7,0.9
11610,Malik Washington,MIA,WR,CLE,7,6.0,1.0,31.7,1.0
11610,Malik Washington,MIA,WR,ATL,8,6.0,1.0,35.3,1.0
11610,Malik Washington,MIA,WR,BAL,9,5.3,3.0,41.7,1.1
11617,Malachi Corley,CLE,WR,MIN,5,,1.0,12.0,1.0
11617,Malachi Corley,CLE,WR,MIA,7,2.0,1.0,12.5,0.9
11617,Malachi Corley,CLE,WR,NE,8,2.0,1.0,9.7,1.0
11620,Rome Odunze,CHI,WR,MIN,1,9.0,,63.0,1.0
11620,Rome Odunze,CHI,WR,DET,2,10.0,,65.5,1.0
11620,Rome Odunze,CHI,WR,DAL,3,9.0,,61.3,1.2
11620,Rome Odunze,CHI,WR,LV,4,8.7,,57.7,1.2
11620,Rome Odunze,CHI,WR,WAS,6,6.7,,55.7,1.2
11620,Rome Odunze,CHI,WR,NO,7,6.3,,59.7,1.0
11620,Rome Odunze,CHI,WR,BAL,8,7.0,,62.0,1.1
11623,Jordan Whittington,LAR,WR,HOU,1,,1.0,30.0,0.8
11623,Jordan Whittington,LAR,WR,TEN,2,2.0,1.0,34.5,0.9
11623,Jordan Whittington,LAR,WR,PHI,3,2.5,1.5,34.0,0.9
11623,Jordan Whittington,LAR,WR,IND,4,2.0,2.0,44.0,1.0
11623,Jordan Whittington,LAR,WR,SF,5,2.3,2.0,40.0,1.0
11623,Jordan Whittington,LAR,WR,BAL,6,2.7,,45.3,1.1
11623,Jordan Whittington,LAR,WR,JAX,7,3.7,,39.3,1.0
11624,Xavier Worthy,KC,WR,BAL,4,8.0,2.0,43.0,1.2
11624,Xavier Worthy,KC,WR,JAX,5,8.5,1.5,46.0,1.1
11624,Xavier Worthy,KC,WR,DET,6,7.0,1.3,46.3,1.1
11624,Xavier Worthy,KC,WR,LV,7,5.7,1.0,48.0,1.0
